Date,Date.1,fear_greed,fg_ma7,fg_ma14,fg_change,fg_change7,fg_extreme_fear,fg_extreme_greed
1970-01-01 00:00:00.000004674,2023-05-06,60.0,61.0,59.42857142857143,-1.0,-4.0,0.0,0.0
1970-01-01 00:00:00.000004675,2023-05-07,64.0,61.57142857142857,60.0,4.0,4.0,0.0,0.0
1970-01-01 00:00:00.000004676,2023-05-08,60.0,61.142857142857146,60.5,-4.0,-3.0,0.0,0.0
1970-01-01 00:00:00.000004677,2023-05-09,51.0,60.57142857142857,60.35714285714285,-9.0,-4.0,0.0,0.0
1970-01-01 00:00:00.000004678,2023-05-10,52.0,58.85714285714285,60.07142857142857,1.0,-12.0,0.0,0.0
1970-01-01 00:00:00.000004679,2023-05-11,52.0,57.142857142857146,59.57142857142857,0.0,-12.0,0.0,0.0
1970-01-01 00:00:00.000004680,2023-05-12,49.0,55.42857142857143,58.5,-3.0,-12.0,0.0,0.0
1970-01-01 00:00:00.000004681,2023-05-13,48.0,53.71428571428572,57.35714285714285,-1.0,-12.0,0.0,0.0
1970-01-01 00:00:00.000004682,2023-05-14,48.0,51.42857142857143,56.5,0.0,-16.0,0.0,0.0
1970-01-01 00:00:00.000004683,2023-05-15,50.0,50.0,55.57142857142857,2.0,-10.0,0.0,0.0
1970-01-01 00:00:00.000004684,2023-05-16,54.0,50.42857142857143,55.5,4.0,3.0,0.0,0.0
1970-01-01 00:00:00.000004685,2023-05-17,50.0,50.142857142857146,54.5,-4.0,-2.0,0.0,0.0
1970-01-01 00:00:00.000004686,2023-05-18,51.0,50.0,53.57142857142857,1.0,-1.0,0.0,0.0
1970-01-01 00:00:00.000004687,2023-05-19,48.0,49.85714285714285,52.642857142857146,-3.0,-1.0,0.0,0.0
1970-01-01 00:00:00.000004688,2023-05-20,48.0,49.85714285714285,51.785714285714285,0.0,0.0,0.0,0.0
1970-01-01 00:00:00.000004689,2023-05-21,52.0,50.42857142857143,50.92857142857143,4.0,4.0,0.0,0.0
1970-01-01 00:00:00.000004690,2023-05-22,49.0,50.285714285714285,50.142857142857146,-3.0,-1.0,0.0,0.0
1970-01-01 00:00:00.000004691,2023-05-23,50.0,49.71428571428572,50.07142857142857,1.0,-4.0,0.0,0.0
1970-01-01 00:00:00.000004692,2023-05-24,50.0,49.71428571428572,49.92857142857143,0.0,0.0,0.0,0.0
1970-01-01 00:00:00.000004693,2023-05-25,51.0,49.71428571428572,49.85714285714285,1.0,0.0,0.0,0.0
1970-01-01 00:00:00.000004694,2023-05-26,49.0,49.85714285714285,49.85714285714285,-2.0,1.0,0.0,0.0
1970-01-01 00:00:00.000004695,2023-05-27,48.0,49.85714285714285,49.85714285714285,-1.0,0.0,0.0,0.0
1970-01-01 00:00:00.000004696,2023-05-28,50.0,49.57142857142857,50.0,2.0,-2.0,0.0,0.0
1970-01-01 00:00:00.000004697,2023-05-29,52.0,50.0,50.142857142857146,2.0,3.0,0.0,0.0
1970-01-01 00:00:00.000004698,2023-05-30,51.0,50.142857142857146,49.92857142857143,-1.0,1.0,0.0,0.0
1970-01-01 00:00:00.000004699,2023-05-31,51.0,50.285714285714285,50.0,0.0,1.0,0.0,0.0
1970-01-01 00:00:00.000004700,2023-06-01,52.0,50.42857142857143,50.07142857142857,1.0,1.0,0.0,0.0
1970-01-01 00:00:00.000004701,2023-06-02,50.0,50.57142857142857,50.21428571428572,-2.0,1.0,0.0,0.0
1970-01-01 00:00:00.000004702,2023-06-03,53.0,51.285714285714285,50.57142857142857,3.0,5.0,0.0,0.0
1970-01-01 00:00:00.000004703,2023-06-04,52.0,51.57142857142857,50.57142857142857,-1.0,2.0,0.0,0.0
1970-01-01 00:00:00.000004704,2023-06-05,53.0,51.71428571428572,50.85714285714285,1.0,1.0,0.0,0.0
1970-01-01 00:00:00.000004705,2023-06-06,44.0,50.71428571428572,50.42857142857143,-9.0,-7.0,0.0,0.0
1970-01-01 00:00:00.000004706,2023-06-07,53.0,51.0,50.642857142857146,9.0,2.0,0.0,0.0
1970-01-01 00:00:00.000004707,2023-06-08,50.0,50.71428571428572,50.57142857142857,-3.0,-2.0,0.0,0.0
1970-01-01 00:00:00.000004708,2023-06-09,50.0,50.71428571428572,50.642857142857146,0.0,0.0,0.0,0.0
1970-01-01 00:00:00.000004709,2023-06-10,49.0,50.142857142857146,50.71428571428572,-1.0,-4.0,0.0,0.0
1970-01-01 00:00:00.000004710,2023-06-11,47.0,49.42857142857143,50.5,-2.0,-5.0,0.0,0.0
1970-01-01 00:00:00.000004711,2023-06-12,47.0,48.57142857142857,50.142857142857146,0.0,-6.0,0.0,0.0
1970-01-01 00:00:00.000004712,2023-06-13,45.0,48.71428571428572,49.71428571428572,-2.0,1.0,0.0,0.0
1970-01-01 00:00:00.000004713,2023-06-14,46.0,47.71428571428572,49.35714285714285,1.0,-7.0,0.0,0.0
1970-01-01 00:00:00.000004714,2023-06-15,41.0,46.42857142857143,48.57142857142857,-5.0,-9.0,0.0,0.0
1970-01-01 00:00:00.000004715,2023-06-16,47.0,46.0,48.35714285714285,6.0,-3.0,0.0,0.0
1970-01-01 00:00:00.000004716,2023-06-17,47.0,45.71428571428572,47.92857142857143,0.0,-2.0,0.0,0.0
1970-01-01 00:00:00.000004717,2023-06-18,49.0,46.0,47.71428571428572,2.0,2.0,0.0,0.0
1970-01-01 00:00:00.000004718,2023-06-19,47.0,46.0,47.285714285714285,-2.0,0.0,0.0,0.0
1970-01-01 00:00:00.000004719,2023-06-20,49.0,46.57142857142857,47.642857142857146,2.0,4.0,0.0,0.0
1970-01-01 00:00:00.000004720,2023-06-21,59.0,48.42857142857143,48.07142857142857,10.0,13.0,0.0,0.0
1970-01-01 00:00:00.000004721,2023-06-22,65.0,51.85714285714285,49.142857142857146,6.0,24.0,0.0,0.0
1970-01-01 00:00:00.000004722,2023-06-23,65.0,54.42857142857143,50.21428571428572,0.0,18.0,0.0,0.0
1970-01-01 00:00:00.000004723,2023-06-24,62.0,56.57142857142857,51.142857142857146,-3.0,15.0,0.0,0.0
1970-01-01 00:00:00.000004724,2023-06-25,64.0,58.71428571428572,52.35714285714285,2.0,15.0,0.0,0.0
1970-01-01 00:00:00.000004725,2023-06-26,55.0,59.85714285714285,52.92857142857143,-9.0,8.0,0.0,0.0
1970-01-01 00:00:00.000004726,2023-06-27,59.0,61.285714285714285,53.92857142857143,4.0,10.0,0.0,0.0
1970-01-01 00:00:00.000004727,2023-06-28,62.0,61.71428571428572,55.07142857142857,3.0,3.0,0.0,0.0
1970-01-01 00:00:00.000004728,2023-06-29,54.0,60.142857142857146,56.0,-8.0,-11.0,0.0,0.0
1970-01-01 00:00:00.000004729,2023-06-30,56.0,58.85714285714285,56.642857142857146,2.0,-9.0,0.0,0.0
1970-01-01 00:00:00.000004730,2023-07-01,59.0,58.42857142857143,57.5,3.0,-3.0,0.0,0.0
1970-01-01 00:00:00.000004731,2023-07-02,63.0,58.285714285714285,58.5,4.0,-1.0,0.0,0.0
1970-01-01 00:00:00.000004732,2023-07-03,62.0,59.285714285714285,59.57142857142857,-1.0,7.0,0.0,0.0
1970-01-01 00:00:00.000004733,2023-07-04,64.0,60.0,60.642857142857146,2.0,5.0,0.0,0.0
1970-01-01 00:00:00.000004734,2023-07-05,61.0,59.85714285714285,60.785714285714285,-3.0,-1.0,0.0,0.0
1970-01-01 00:00:00.000004735,2023-07-06,56.0,60.142857142857146,60.142857142857146,-5.0,2.0,0.0,0.0
1970-01-01 00:00:00.000004736,2023-07-07,55.0,60.0,59.42857142857143,-1.0,-1.0,0.0,0.0
1970-01-01 00:00:00.000004737,2023-07-08,58.0,59.85714285714285,59.142857142857146,3.0,-1.0,0.0,0.0
1970-01-01 00:00:00.000004738,2023-07-09,55.0,58.71428571428572,58.5,-3.0,-8.0,0.0,0.0
1970-01-01 00:00:00.000004739,2023-07-10,56.0,57.85714285714285,58.57142857142857,1.0,-6.0,0.0,0.0
1970-01-01 00:00:00.000004740,2023-07-11,57.0,56.85714285714285,58.42857142857143,1.0,-7.0,0.0,0.0
1970-01-01 00:00:00.000004741,2023-07-12,64.0,57.285714285714285,58.57142857142857,7.0,3.0,0.0,0.0
1970-01-01 00:00:00.000004742,2023-07-13,57.0,57.42857142857143,58.785714285714285,-7.0,1.0,0.0,0.0
1970-01-01 00:00:00.000004743,2023-07-14,60.0,58.142857142857146,59.07142857142857,3.0,5.0,0.0,0.0
