date,open,high,low,price,volume,return,log_return,range,vol_7p,vol_24p,ma_24,ma_168,price_ma_ratio,tx_count,hashrate,fees_btc,mempool_size,miners_revenue,difficulty,fg_score
2021-08-04 16:00:00+00:00,39302.0,39969.66,39240.2,39723.18,15489.520862,0.0107165029769478,0.0106594882296926,729.4600000000064,0.0193573506749564,0.0218338165656542,39944.005833333336,35166.40005952381,0.9944716152342172,239596.0,98004603.29610927,15.07145299,6019513.46875,33520445.17127036,14496442856349.0,32.0
2021-08-05 00:00:00+00:00,39723.17,39849.61,38722.0,38870.59,14819.456354,-0.0214632866754375,-0.0216969728452011,1127.6100000000006,0.0204423605658024,0.0221559227098849,39901.285416666666,35177.759880952384,0.974168866844672,246175.0,115299533.28954034,14.890447050000006,663755.578125,39935192.170622125,14496442856349.0,32.0
2021-08-05 08:00:00+00:00,38870.58,39370.0,37332.7,38750.01,37150.066112,-0.0031020882368905,-0.0031069096862279,2037.300000000003,0.0196531780971807,0.0221423069589124,39862.159166666665,35188.79119047619,0.97210012729073,246175.0,115299533.28954034,14.890447050000006,1123226.984375,39935192.170622125,14496442856349.0,32.0
2021-08-05 16:00:00+00:00,38750.0,41350.0,38737.31,40862.46,32374.233155,0.0545148246413353,0.0530807792933831,2612.6900000000023,0.0272596584991866,0.0248133444848918,39897.280000000006,35213.712261904766,1.0241916240906646,246175.0,115299533.28954034,14.890447050000006,1137906.578125,39935192.170622125,14496442856349.0,32.0
2021-08-06 00:00:00+00:00,40862.46,41199.99,39853.86,40729.59,20651.444021,-0.0032516397691182,-0.0032569378377702,1346.1299999999974,0.0275413407867548,0.0248208993930425,39930.403750000005,35235.03392857142,1.0200144795680908,260810.0,114578911.20648073,14.22965964,736382.515625,41573126.86150505,14496442856349.0,32.0
2021-08-06 08:00:00+00:00,40731.0,42455.73,40300.0,42199.98,26482.523927,0.0361012718271902,0.0354648917887527,2155.730000000003,0.0276306663873956,0.0258249479937329,40024.5975,35267.067083333335,1.0543511399458798,260810.0,114578911.20648073,14.22965964,1188626.546875,41573126.86150505,14496442856349.0,32.0
2021-08-06 16:00:00+00:00,42199.97,43392.43,42199.97,42836.87,28619.973399,0.015092187247482,0.014979433243788,1192.4599999999991,0.0257456619777062,0.0259493917256148,40142.11375,35299.834285714285,1.0671304024193295,260810.0,114578911.20648073,14.22965964,2656896.6875,41573126.86150505,14496442856349.0,32.0
2021-08-07 00:00:00+00:00,42836.87,43930.4,42579.16,43207.89,20958.884931,0.0086612303840125,0.0086239371105094,1351.239999999998,0.0257831890059821,0.0258749583477094,40287.192083333335,35346.97017857143,1.07249693427691,212229.0,120343887.87095772,10.389359620000002,575905.53125,45850268.790412456,14496442856349.0,32.0
2021-08-07 08:00:00+00:00,43207.89,44555.0,43000.0,43370.23,28938.97953,0.0037571841624297,0.0037501435756913,1555.0,0.0217084050347676,0.0255141625917871,40466.207916666666,35394.50154761905,1.071764126980064,212229.0,120343887.87095772,10.389359620000002,989321.765625,45850268.790412456,14496442856349.0,32.0
2021-08-07 16:00:00+00:00,43370.23,44700.0,42446.41,44572.54,23498.876347,0.0277220111583451,0.0273447133025172,2253.5899999999965,0.0202744179235263,0.0205235432410701,40564.79833333333,35448.23029761905,1.0987985108106253,212229.0,120343887.87095772,10.389359620000002,560783.6875,45850268.790412456,14496442856349.0,32.0
