date,open,high,low,price,volume,return,vol_7d
2023-10-05,27778.57,28120.39,27352.0,27410.39,30681.49619,-0.013254101993011136,0.018757638432889773
2023-10-06,27410.39,28295.0,27175.94,27931.09,37983.24277,0.01899644623808716,0.019472387852821557
2023-10-07,27931.1,28029.67,27842.08,27956.67,13348.83825,0.0009158253401495564,0.019511132442754486
2023-10-08,27956.67,28095.14,27687.5,27917.05,19693.56921,-0.0014171931063320375,0.01307812233505497
2023-10-09,27917.06,27987.93,27260.0,27590.12,31534.74639,-0.01171076456860598,0.011869487025638161
2023-10-10,27590.12,27735.0,27298.0,27390.12,22776.84383,-0.007248971733359588,0.012205087688516296
2023-10-11,27390.12,27477.39,26538.66,26875.52,37349.44706,-0.018787796475517426,0.012457263696673467
2023-10-12,26875.52,26947.04,26555.0,26759.63,23428.64112,-0.004312102612340163,0.011871888078163266
2023-10-13,26759.63,27130.0,26685.0,26862.0,24115.76499,0.0038255386939205493,0.007793148832846512
2023-10-14,26862.0,26989.58,26789.0,26852.48,10417.25576,-0.00035440399076769324,0.007631048453329687
2023-10-15,26852.48,27293.33,26808.25,27154.15,15274.6917,0.011234344090378379,0.009961117060044785
2023-10-16,27154.14,30000.0,27112.66,28500.78,78399.22445,0.04959205130707445,0.021832013992227426
2023-10-17,28500.77,28613.65,28069.32,28395.91,38428.44532,-0.003679548419376566,0.02154209191505893
2023-10-18,28395.91,28982.36,28142.87,28320.0,32162.47591,-0.00267327231280845,0.019273036954221456
2023-10-19,28320.0,28916.89,28100.66,28713.71,35895.50179,0.013902189265536657,0.018604987919661423
2023-10-20,28713.71,30207.55,28578.29,29669.04,59422.0992,0.0332708660775638,0.020169629718427774
2023-10-21,29669.05,30379.99,29464.77,29909.8,27517.51897,0.00811485642946308,0.01937032256315591
2023-10-22,29909.8,30248.0,29640.0,29992.46,22852.54563,0.002763642685674972,0.019950263185467745
2023-10-23,29992.46,34741.91,29883.6,33069.99,93513.64246,0.10261012267749958,0.037686490594081426
2023-10-24,33069.99,35280.0,32832.34,33922.73,115265.02418,0.02578591647593509,0.0359395156437652
2023-10-25,33922.73,35132.85,33679.05,34496.05,54887.02529,0.0169007624091575,0.03402419374724579
2023-10-26,34496.05,34824.13,33751.0,34151.66,39744.66255,-0.009983461874620403,0.03687482167575353
2023-10-27,34151.66,34245.0,33390.95,33892.02,32330.40106,-0.007602558704320916,0.038657659981986066
2023-10-28,33892.01,34493.33,33860.0,34081.0,16880.13144,0.005575943835746777,0.038797209093731716
2023-10-29,34081.01,34750.11,33930.0,34525.89,20685.52176,0.013053901000557477,0.038251322483017665
2023-10-30,34525.88,34856.0,34062.84,34474.73,33657.95976,-0.0014817865665446295,0.013270992205717987
2023-10-31,34474.74,34720.49,34025.0,34639.77,32737.89822,0.004787274621149917,0.010043272776242548
2023-11-01,34639.78,35582.0,34097.39,35421.43,53473.28165,0.022565392322177802,0.011473074330639366
2023-11-02,35421.43,35984.99,34300.0,34941.59,48015.57732,-0.013546601591183705,0.01224211341870355
2023-11-03,34941.58,34946.5,34120.0,34716.78,39071.20644,-0.006433880083877019,0.012074902109109517
2023-11-04,34716.78,35255.0,34585.18,35062.07,18377.55545,0.009945910882288134,0.01231060807610831
2023-11-05,35062.06,35380.0,34448.0,35011.88,24528.73376,-0.0014314614054447006,0.011765367721453078
2023-11-06,35011.89,35276.33,34725.9,35046.09,22346.47086,0.00097709691681791,0.01167846028486476
2023-11-07,35046.09,35888.0,34523.06,35399.12,38688.73692,0.010073306323187703,0.01202366535175325
2023-11-08,35399.13,36106.0,35100.0,35624.72,33401.34137,0.006373039781779832,0.008792489229617308
2023-11-09,35624.72,37972.24,35534.05,36701.09,82537.88885,0.030214132209319677,0.011868536677290441
2023-11-10,36701.1,37526.0,36324.71,37301.63,43414.04898,0.016363001752808914,0.010594413146272942
2023-11-11,37301.63,37408.26,36666.93,37130.0,22984.97235,-0.004601139414014854,0.012019859521788016
2023-11-12,37129.99,37222.22,36731.1,37064.13,17687.18874,-0.0017740371667116506,0.012066602210980847
2023-11-13,37064.13,37417.99,36333.0,36462.93,32798.18252,-0.016220534516795504,0.015147419042850904
2023-11-14,36462.93,36744.0,34800.0,35551.19,45503.68416,-0.025004573137704433,0.018840650189996824
2023-11-15,35551.2,37980.0,35360.0,37858.2,53569.13385,0.06489262384747163,0.030880381660055585
2023-11-16,37858.2,37929.54,35500.0,36163.51,47490.39566,-0.044764146208747246,0.03506577625923432
2023-11-17,36163.51,36800.0,35861.1,36613.92,38283.61112,0.012454819789339933,0.034762145029258666
2023-11-18,36613.91,36845.49,36178.58,36568.1,17102.24186,-0.0012514366120863762,0.034745755540714796
2023-11-19,36568.11,37500.0,36384.02,37359.86,21246.34648,0.021651658139197894,0.03584444936305055
2023-11-20,37359.85,37750.0,36677.0,37448.78,36022.70291,0.0023800945720888755,0.03497520678994112
2023-11-21,37448.79,37649.44,35735.0,35741.65,47646.54804,-0.04558573069670091,0.038536627375525434
2023-11-22,35741.65,37861.1,35632.01,37408.34,45051.30697,0.046631590875071405,0.03385572361352182
2023-11-23,37408.35,37653.44,36870.0,37294.28,23827.92882,-0.003049052697874255,0.02809283005914236
2023-11-24,37294.27,38414.0,37251.51,37713.57,44680.80646,0.011242742854936427,0.028041094656622547
2023-11-25,37713.57,37888.0,37591.1,37780.67,11396.14464,0.001779200431038408,0.02795943312885718
2023-11-26,37780.67,37814.63,37150.0,37447.43,21264.53723,-0.008820383545342092,0.0273004732990891
2023-11-27,37447.42,37569.23,36707.0,37242.7,30001.07376,-0.005467130855174918,0.027378787219168397
2023-11-28,37242.7,38377.0,36868.41,37818.87,37544.46667,0.0154706828452289,0.019075894904129597
2023-11-29,37818.88,38450.0,37570.0,37854.64,32994.19107,0.0009458241348827556,0.00881158910114685
2023-11-30,37854.65,38145.85,37500.0,37723.96,24740.29147,-0.0034521527611939273,0.008849254486866395
2023-12-01,37723.97,38999.0,37615.86,38682.52,43415.66324,0.025409845625962824,0.012336198378016684
2023-12-02,38682.51,39717.14,38641.61,39450.35,26696.92161,0.019849534104810163,0.013685373676188581
2023-12-03,39450.35,40250.0,39274.86,39972.26,26710.65335,0.013229540422328379,0.012074104798652712
2023-12-04,39972.26,42420.0,39972.26,41991.1,79272.33059,0.05050602592898157,0.01776152371380003
2023-12-05,41991.1,44488.0,41414.0,44073.32,67490.74644,0.04958717442505667,0.021437090371892228
2023-12-06,44073.82,44297.21,43335.28,43762.69,51431.10492,-0.007048028149456376,0.022925294945815963
2023-12-07,43762.69,44047.33,42821.1,43273.14,47103.26845,-0.011186469570312108,0.0244449079529235
2023-12-08,43273.15,44700.0,43081.1,44170.99,42900.37556,0.02074843655902936,0.024337809222419588
2023-12-09,44171.0,44358.02,43584.51,43713.6,24925.97008,-0.010354986383596998,0.026794957496410525
2023-12-10,43713.59,44049.0,43563.0,43789.51,18956.61758,0.0017365305076681992,0.027274271841415603
2023-12-11,43789.5,43804.5,40222.0,41253.4,76663.89804,-0.05791592552645597,0.032911328116280204
2023-12-12,41253.41,42104.12,40680.0,41492.39,42722.69773,0.005793219467971067,0.024559527373509773
2023-12-13,41492.38,43475.2,40555.0,42869.03,45865.99773,0.033178132182793085,0.029178157066386243
2023-12-14,42869.03,43420.0,41400.0,43022.26,42047.05709,0.0035743752541170792,0.028984534603072983
2023-12-15,43022.26,43080.81,41666.0,41940.3,33421.7932,-0.02514884155318664,0.028574925786473075
2023-12-16,41940.29,42724.43,41605.0,42278.03,24118.85747,0.008052636724105389,0.029059713173699847
2023-12-17,42278.02,42424.07,41252.0,41374.65,27722.11452,-0.02136759919986808,0.02955573733692637
2023-12-18,41374.64,42757.81,40542.93,42657.8,46734.0925,0.03101295116695857,0.022682087662699163
2023-12-19,42657.8,43497.0,41811.1,42275.99,40927.86444,-0.00895053190741213,0.023274436532804362
2023-12-20,42275.99,44283.0,42206.0,43668.93,48710.2947,0.03294872574243679,0.02322481732405606
2023-12-21,43668.92,44242.35,43286.72,43861.8,34624.29384,0.004416641305385882,0.0232312283224855
2023-12-22,43861.79,44398.26,43412.54,43969.04,32783.19638,0.0024449520995490914,0.01973829042767431
2023-12-23,43969.04,43988.68,43291.1,43702.16,16557.1293,-0.006069725424980743,0.020318441493833994
2023-12-24,43702.15,43946.0,42500.0,42991.5,25144.33496,-0.016261438793872096,0.019282685932652668
2023-12-25,42991.5,43802.32,42720.43,43576.13,27021.23992,0.013598734633590404,0.01636801196730223
2023-12-26,43576.12,43592.68,41637.6,42508.93,41010.04282,-0.024490472192000512,0.019108848983860335
2023-12-27,42508.93,43677.0,42098.69,43428.85,36191.21136,0.021640629392459365,0.016210092420077024
2023-12-28,43428.86,43787.57,42241.79,42563.76,35150.52485,-0.01991970775187457,0.017495038909312095
2023-12-29,42563.76,43111.0,41300.0,42066.95,42597.18912,-0.011672136108276221,0.017421484812584948
2023-12-30,42066.94,42612.32,41520.3,42140.28,22906.57818,0.0017431736790995966,0.017677204745088073
2023-12-31,42140.29,42899.0,41965.84,42283.58,23585.91603,0.0034005469351414686,0.01715348426679503
2024-01-01,42283.58,44184.1,42180.77,44179.55,27174.29903,0.04483939155577654,0.02446699091432117
2024-01-02,44179.55,45879.63,44148.34,44946.91,65146.40661,0.017369122139089255,0.021823204187716667
2024-01-03,44946.91,45500.0,40750.0,42845.23,81194.55173,-0.04675916542427505,0.028951197493687127
2024-01-04,42845.23,44729.58,42613.77,44151.1,48038.06334,0.030478772082679795,0.029879511601387843
2024-01-05,44151.1,44357.46,42450.0,44145.11,48075.25327,-0.00013567045894657959,0.02907350281183643
2024-01-06,44145.12,44214.42,43397.05,43968.32,17835.06144,-0.00400474707164622,0.029335818640854796
