Date,Close,High,Low,Open,Volume,MVRV_proxy,exchange_net_flow_proxy,miner_revenue_proxy,Target_Direction
2022-03-30,47062.6640625,47655.1484375,46746.2109375,47456.8984375,29333883962,1.0,29117409968.0,4.70626640625,0
2022-03-31,45538.67578125,47512.02734375,45390.5390625,47062.1484375,33327427106,1.0,29443757798.714287,4.553867578125001,1
2022-04-01,46281.64453125,46616.2421875,44403.140625,45554.1640625,38162644287,1.0,30527790834.857143,4.628164453125001,0
2022-04-02,45868.94921875,47028.28125,45782.51171875,46285.5,29336594194,1.0,32297239149.0,4.586894921875,1
2022-04-03,46453.56640625,47313.4765625,45634.10546875,45859.12890625,25414397610,1.0,31904883133.0,4.645356640625001,1
2022-04-04,46622.67578125,46791.08984375,45235.81640625,46445.2734375,32499785455,1.0,31353113097.57143,4.662267578125,0
2022-04-05,45555.9921875,47106.140625,45544.80859375,46624.5078125,29640604055,1.0,31102190952.714287,4.55559921875,0
2022-04-06,43206.73828125,45544.35546875,43193.953125,45544.35546875,39393395788,1.0,32539264070.714287,4.320673828125,1
2022-04-07,43503.84765625,43860.69921875,42899.90625,43207.5,26101973106,1.0,31507056356.42857,4.350384765625,0
2022-04-08,42287.6640625,43903.01953125,42183.2890625,43505.13671875,27215995394,1.0,29943249371.714287,4.22876640625,1
2022-04-09,42782.13671875,42786.81640625,42183.25390625,42282.078125,16050772496,1.0,28045274843.42857,4.278213671875,0
2022-04-10,42207.671875,43376.37890625,42021.20703125,42781.08984375,17654475582,1.0,26936714553.714287,4.2207671875,0
2022-04-11,39521.90234375,42424.58984375,39373.05859375,42201.0390625,33949912166,1.0,27143875512.42857,3.952190234375,1
2022-04-12,40127.18359375,40617.5859375,39388.328125,39533.71484375,30991500854,1.0,27336860769.42857,4.012718359375,1
2022-04-13,41166.73046875,41430.0546875,39712.74609375,40123.5703125,27691105228,1.0,25665104975.142857,4.116673046875,0
2022-04-14,39935.515625,41451.48046875,39695.74609375,41160.21875,24342001973,1.0,25413680527.57143,3.9935515625,1
2022-04-15,40553.46484375,40617.72265625,39866.83203125,39939.40234375,21756855753,1.0,24633803436.0,4.055346484375,0
2022-04-16,40424.484375,40633.6796875,40078.42578125,40552.31640625,16833150693,1.0,24745571749.857143,4.0424484375,0
2022-04-17,39716.953125,40570.7265625,39620.89453125,40417.77734375,19087633042,1.0,24950308529.857143,3.9716953125,1
2022-04-18,40826.21484375,40986.3203125,38696.19140625,39721.203125,33705182072,1.0,24915347087.857143,4.082621484375,1
2022-04-19,41502.75,41672.9609375,40618.6328125,40828.17578125,25303206547,1.0,24102733615.42857,4.150275000000001,0
2022-04-20,41374.37890625,42126.30078125,40961.09765625,41501.74609375,27819532341,1.0,24121080345.857143,4.137437890625,0
2022-04-21,40527.36328125,42893.58203125,40063.828125,41371.515625,35372786395,1.0,25696906691.857143,4.052736328125,0
2022-04-22,39740.3203125,40777.7578125,39315.41796875,40525.86328125,28011716745,1.0,26590458262.142857,3.97403203125,0
2022-04-23,39486.73046875,39935.859375,39352.203125,39738.72265625,16138021249,1.0,26491154055.857143,3.948673046875,0
2022-04-24,39469.29296875,39845.92578125,39233.5390625,39478.375,17964398167,1.0,26330691930.857143,3.946929296875,1
2022-04-25,40458.30859375,40491.75390625,38338.37890625,39472.60546875,35445730570,1.0,26579341716.285713,4.045830859375,0
2022-04-26,38117.4609375,40713.890625,37884.984375,40448.421875,34569088416,1.0,27903039126.142857,3.81174609375,1
2022-04-27,39241.12109375,39397.91796875,37997.3125,38120.30078125,30981015184,1.0,28354679532.285713,3.924112109375,1
2022-04-28,39773.828125,40269.46484375,38941.421875,39241.4296875,33903704907,1.0,28144810748.285713,3.9773828125,0
2022-04-29,38609.82421875,39887.26953125,38235.53515625,39768.6171875,30882994649,1.0,28554993306.0,3.860982421875,0
2022-04-30,37714.875,38771.2109375,37697.94140625,38605.859375,23895713731,1.0,29663235089.142857,3.7714875,1
2022-05-01,38469.09375,38627.859375,37585.7890625,37713.265625,27002760110,1.0,30954429652.42857,3.846909375,1
2022-05-02,38529.328125,39074.97265625,38156.5625,38472.1875,32922642426,1.0,30593988489.0,3.8529328125,0
2022-05-03,37750.453125,38629.99609375,37585.62109375,38528.109375,27326943244,1.0,29559396321.57143,3.7750453125,1
2022-05-04,39698.37109375,39902.94921875,37732.05859375,37748.01171875,36754404490,1.0,30384166222.42857,3.9698371093750002,0
2022-05-05,36575.140625,39789.28125,35856.515625,39695.74609375,43106256317,1.0,31698816423.857143,3.6575140625,0
2022-05-06,36040.921875,36624.359375,35482.1328125,36573.18359375,37795577489,1.0,32686328258.142857,3.6040921875,0
2022-05-07,35501.953125,36129.92578125,34940.82421875,36042.50390625,24375896406,1.0,32754925783.142857,3.5501953125,0
