date,open,high,low,price,volume,return,vol_7d,AdrActCnt,TxCnt,FeeTotNtv,HashRate,SplyCur,CapMVRVCur
2023-09-07,25759.95,26443.14,25615.38,26255.0,27687.49567,0.0192178168047685,0.0084797778078646,1003310.0,541513.0,31.6635359,393005454.3704645,19478980.56822393,1.293153415402
2023-09-08,26255.0,26445.5,25647.26,25910.5,28999.76471,-0.0131213102266235,0.0099581179657235,986937.0,408954.0,35.92386033,358011817.1993768,19479811.81721846,1.278230950625
2023-09-09,25910.5,25945.09,25796.64,25901.61,10980.62277,-0.0003431041469674,0.0099269092260509,1116330.0,599142.0,32.39406251,406464544.39743114,19480755.567213,1.277871761676
2023-09-10,25901.6,26033.66,25570.57,25841.61,18738.26914,-0.0023164583205445,0.0098177972978437,1049360.0,557602.0,47.01068378,395697270.8253705,19481674.317213,1.274805713565
2023-09-11,25841.6,25900.69,24901.0,25162.52,41682.32,-0.0262789354068883,0.0138362971083866,1120614.0,463598.0,32.55413594,427999091.5415522,19482668.06720754,1.240998802155
2023-09-12,25162.53,26567.0,25131.48,25840.1,56434.38537,0.0269281455116576,0.0180881465069736,1042537.0,461193.0,31.24632215,379546364.3434978,19483549.3171964,1.276849786407
2023-09-13,25840.1,26405.22,25764.17,26222.0,31610.82753,0.0147793545690613,0.0188426370912736,1049105.0,513232.0,31.1587501,395697270.8253705,19484468.04739079,1.294929881704
2023-09-14,26222.0,26860.49,26126.77,26522.73,38333.1725,0.0114686141407978,0.0179149155734482,1131002.0,574875.0,30.66265456,436074544.78248847,19485480.54739079,1.31072461763
2023-09-15,26522.73,26888.0,26224.0,26600.0,26227.29369,0.0029133501717206,0.0167049219073833,1234300.0,708663.0,32.48141046,506061819.12466395,19486655.54738533,1.316247721823
2023-09-16,26599.99,26777.0,26445.0,26559.67,13960.93351,-0.0015161654135339,0.0167601256888714,1053706.0,591563.0,26.79341153,417231817.9694916,19487624.29738533,1.31045230781
2023-09-17,26559.67,26623.25,26399.0,26527.51,12998.10277,-0.0012108584180451,0.0166989540968574,1039207.0,616879.0,28.47698957,401080907.6114008,19488555.54737986,1.30778359727
2023-09-18,26527.5,27409.0,26377.35,26762.51,43000.43256,0.0088587281655911,0.0101056532938918,1125172.0,625728.0,47.13931592,419923634.4243977,19489530.54736894,1.320321096515
2023-09-19,26762.5,27483.57,26667.79,27210.26,36190.52187,0.0167304935149954,0.0074605883361801,1035954.0,491377.0,47.46467706,386415687.751435,19490399.29524153,1.341491282124
2023-09-20,27210.25,27388.63,26800.0,27125.0,34207.21867,-0.0031333768953327,0.0075912819923884,1062056.0,561350.0,46.88357485,414558854.2037332,19491311.79524153,1.337531751739
2023-09-21,27125.01,27159.6,26377.7,26568.08,34476.82662,-0.0205316129032256,0.0115568727833096,1078476.0,427398.0,47.40174793,391843298.7563836,19492174.29518607,1.310046276386
2023-09-22,26568.08,26743.38,26468.77,26580.14,18198.2292,0.0004539281724533,0.0115014872736573,978848.0,433758.0,46.51538172,366288300.9225151,19492980.54518061,1.310529519075
2023-09-23,26580.14,26632.81,26509.0,26575.96,9440.7026,-0.0001572602702619,0.0114840677775878,1090192.0,639336.0,51.01066827,442953294.42412055,19493955.54517515,1.310250960634
2023-09-24,26575.97,26738.54,26122.08,26248.38,15706.65771,-0.0123261774927414,0.012432008413924,1061159.0,428059.0,36.89212181,414558854.2037332,19494868.03517515,1.296058458113
2023-09-25,26248.39,26446.15,25990.46,26304.81,26266.2039,0.002149846961984,0.0117450264377083,1104115.0,294377.0,33.09262149,411719407.72841465,19495774.28505082,1.296187807462
2023-09-26,26304.8,26397.46,26088.34,26221.67,18495.35066,-0.0031606386816709,0.0082226693655984,1027673.0,305251.0,27.92949222,386164409.89454615,19496624.28504082,1.291644411828
2023-09-27,26221.68,26850.0,26112.06,26372.99,34771.57978,0.0057707994952267,0.0092304893216992,1072094.0,341149.0,32.21248616,445792740.8994391,19497605.53503481,1.298711354638
2023-09-28,26373.0,27308.48,26342.4,27021.39,44517.83491,0.0245857599005647,0.0112672276629944,1045920.0,376671.0,28.92334807,414558854.2037332,19498518.03503481,1.332826815107
2023-09-29,27021.39,27244.89,26665.16,26906.96,28478.76219,-0.0042347932508283,0.0115433011705392,1050872.0,323661.0,28.55654353,417398296.5902521,19499436.78501742,1.326653306014
2023-09-30,26906.96,27094.99,26886.31,26962.56,12804.62307,0.0020663798511613,0.0115108864361728,1019753.0,280334.0,21.83615353,391843298.7563836,19500299.28501742,1.329742814001
2023-10-01,26962.57,28065.51,26954.09,27992.57,24602.81468,0.0382014912530559,0.0159337320088592,921731.0,320190.0,18.71006696,400361634.09353954,19501180.53500196,1.377331393995
2023-10-02,27992.58,28580.0,27281.44,27494.51,57071.14241,-0.0177925785306601,0.0189339223789188,1027085.0,340200.0,27.28232358,445792740.8994391,19502161.78500196,1.35843524556
2023-10-03,27494.51,27676.52,27160.5,27426.46,28928.96555,-0.0024750395624435,0.0188773638707639,1077556.0,309334.0,28.93640904,466801496.99817747,19503186.78494104,1.351957092666
2023-10-04,27426.45,27839.72,27202.0,27778.57,29816.142,0.0128383320341014,0.0190148194972444,904067.0,293693.0,27.11856417,373280258.5727724,19504005.53494104,1.369035570095
2023-10-05,27778.57,28120.39,27352.0,27410.39,30681.49619,-0.0132541019930111,0.0187576384328897,946720.0,321037.0,26.00778363,401774937.14888096,19504886.78492465,1.350981968888
2023-10-06,27410.39,28295.0,27175.94,27931.09,37983.24277,0.0189964462380871,0.0194723878528215,915218.0,293272.0,42.82945856,455914820.2886373,19505886.78492465,1.37581058469
2023-10-07,27931.1,28029.67,27842.08,27956.67,13348.83825,0.0009158253401495,0.0195111324427544,853582.0,242646.0,41.1264569,487258964.67074,19506955.53391919,1.376921632645
2023-10-08,27956.67,28095.14,27687.5,27917.05,19693.56921,-0.001417193106332,0.0130781223350549,786381.0,243277.0,15.31061253,421721210.10054034,19507880.53391919,1.375035048808
2023-10-09,27917.06,27987.93,27260.0,27590.12,31534.74639,-0.0117107645686059,0.0118694870256381,942188.0,280007.0,19.70971948,444516948.85819376,19508855.53381373,1.357643501831
2023-10-10,27590.12,27735.0,27298.0,27390.12,22776.84383,-0.0072489717333595,0.0122050876885162,903210.0,283755.0,17.03734574,461613756.003859,19509868.03381373,1.349224905545
2023-10-11,27390.12,27477.39,26538.66,26875.52,37349.44706,-0.0187877964755174,0.0124572636966734,867301.0,265623.0,22.00138682,455914820.2886373,19510868.03380827,1.320267435058
2023-10-12,26875.52,26947.04,26555.0,26759.63,23428.64112,-0.0043121026123401,0.0118718880781632,911879.0,272350.0,25.07718826,470162157.5250749,19511899.28353827,1.316151935393
2023-10-13,26759.63,27130.0,26685.0,26862.0,24115.76499,0.0038255386939205,0.0077931488328465,917035.0,278419.0,21.77493596,393226531.5244317,19512761.78352188,1.321220609655
2023-10-14,26862.0,26989.58,26789.0,26852.48,10417.25576,-0.0003544039907676,0.0076310484533296,806946.0,258882.0,13.23541991,416022274.3853186,19513674.28252188,1.321559699731
2023-10-15,26852.48,27293.33,26808.25,27154.15,15274.6917,0.0112343440903783,0.0099611170600447,795940.0,258142.0,11.62376556,475861093.24029666,19514718.03251642,1.334644980263
2023-10-16,27154.14,30000.0,27112.66,28500.78,78399.22445,0.0495920513070744,0.0218320139922274,1018543.0,298000.0,20.61911313,417078811.47604144,19515599.28251642,1.401484702482
2023-10-17,28500.77,28613.65,28069.32,28395.91,38428.44532,-0.0036795484193765,0.0215420919150589,917408.0,294069.0,19.4977668,491483968.44434166,19516611.7825055,1.397569787083
2023-10-18,28395.91,28982.36,28142.87,28320.0,32162.47591,-0.0026732723128084,0.0192730369542214,932487.0,275052.0,19.34632265,439908488.33259135,19517518.0324782,1.392147247637
2023-10-19,28320.0,28916.89,28100.66,28713.71,35895.50179,0.0139021892655366,0.0186049879196614,918882.0,282274.0,18.98760843,424739231.01810473,19518393.03246182,1.410163206398
2023-10-20,28713.71,30207.55,28578.29,29669.04,59422.0992,0.0332708660775638,0.0201696297184277,952627.0,293330.0,19.74396406,406536123.98821926,19519230.53243997,1.458847579295
2023-10-21,29669.05,30379.99,29464.77,29909.8,27517.51897,0.008114856429463,0.0193703225631559,871252.0,268430.0,15.66483321,455077750.0158244,19520168.03243451,1.469157536053
2023-10-22,29909.8,30248.0,29640.0,29992.46,22852.54563,0.0027636426856749,0.0199502631854677,795000.0,247456.0,12.19512069,464179303.53076714,19521124.28243451,1.471860430263
2023-10-23,29992.46,34741.91,29883.6,33069.99,93513.64246,0.1026101226774995,0.0376864905940814,1071672.0,312741.0,17.92860465,476314711.12985504,19522105.53242902,1.613500605985
2023-10-24,33069.99,35280.0,32832.34,33922.73,115265.02418,0.025785916475935,0.0359395156437652,1021188.0,372695.0,38.68234,382265308.79004353,19522893.03242901,1.654397557736
2023-10-25,33922.73,35132.85,33679.05,34496.05,54887.02529,0.0169007624091575,0.0340241937472457,1090466.0,477890.0,40.77740706,436874638.61719257,19523793.03242355,1.681601781377
2023-10-26,34496.05,34824.13,33751.0,34151.66,39744.66255,-0.0099834618746204,0.0368748216757535,1099370.0,429794.0,29.39355894,455077750.0158244,19524730.53240151,1.663662918099
2023-10-27,34151.66,34245.0,33390.95,33892.02,32330.40106,-0.0076025587043209,0.038657659981986,1052994.0,456280.0,24.58743349,467213153.24616593,19525693.03239602,1.648793504518
2023-10-28,33892.01,34493.33,33860.0,34081.0,16880.13144,0.0055759438357467,0.0387972090937317,1018571.0,564578.0,19.08509768,485416264.6447977,19526693.03239598,1.65738945553
2023-10-29,34081.01,34750.11,33930.0,34525.89,20685.52176,0.0130539010005574,0.0382513224830176,909920.0,403706.0,13.73259444,415637677.503162,19527549.2823905,1.679987904494
2023-10-30,34525.88,34856.0,34062.84,34474.73,33657.95976,-0.0014817865665446,0.0132709922057179,1097494.0,461480.0,18.07698576,482896145.81756824,19528524.28239007,1.674700476949
2023-10-31,34474.74,34720.49,34025.0,34639.77,32737.89822,0.0047872746211499,0.0100432727762425,1044499.0,437895.0,18.48037298,481286783.3729944,19529493.03238398,1.679986208289
2023-11-01,34639.78,35582.0,34097.39,35421.43,53473.28165,0.0225653923221778,0.0114730743306393,1053031.0,461955.0,22.00127002,462656325.77122176,19530424.28237621,1.715331297044
2023-11-02,35421.43,35984.99,34300.0,34941.59,48015.57732,-0.0135466015911837,0.0122421134187035,1062991.0,410238.0,22.37939039,447130946.6720661,19531324.28232469,1.687432786238
2023-11-03,34941.58,34946.5,34120.0,34716.78,39071.20644,-0.006433880083877,0.0120749021091095,990903.0,450384.0,34.20912183,422290336.53636926,19532174.28231819,1.677473281454
2023-11-04,34716.78,35255.0,34585.18,35062.07,18377.55545,0.0099459108822881,0.0123106080761083,1118816.0,704138.0,80.0624722,521652772.60784686,19533224.28231745,1.695198047921
2023-11-05,35062.06,35380.0,34448.0,35011.88,24528.73376,-0.0014314614054447,0.011765367721453,1144443.0,666535.0,71.51637093,506127389.0373817,19534243.03231134,1.69531363252
2023-11-06,35011.89,35276.33,34725.9,35046.09,22346.47086,0.0009770969168179,0.0116784602848647,993108.0,439013.0,74.5464002,394344652.3693652,19535036.78229968,1.690062847822
2023-11-07,35046.09,35888.0,34523.06,35399.12,38688.73692,0.0100733063231877,0.0120236653517532,961106.0,449873.0,89.49898293,412975109.97113776,19535868.03228795,1.707693280842
2023-11-08,35399.13,36106.0,35100.0,35624.72,33401.34137,0.0063730397817798,0.0087924892296173,1004807.0,585167.0,119.51921842,462656325.77122176,19536799.28228701,1.724477503
2023-11-09,35624.72,37972.24,35534.05,36701.09,82537.88885,0.0302141322093196,0.0118685366772904,989778.0,571031.0,249.59381306,444025872.6407587,19537693.03227018,1.762200964364
2023-11-10,36701.1,37526.0,36324.71,37301.63,43414.04898,0.0163630017528089,0.0105944131462729,1127201.0,526138.0,160.99446622,478181704.8703776,19538655.53226972,1.792853668717
2023-11-11,37301.63,37408.26,36666.93,37130.0,22984.97235,-0.0046011394140148,0.012019859521788,1073475.0,628048.0,114.30174463,496812162.47215015,19539655.53225825,1.773581111946
2023-11-12,37129.99,37222.22,36731.1,37064.13,17687.18874,-0.0017740371667116,0.0120666022109808,1008655.0,706503.0,116.39942802,506634196.247056,19540661.78225779,1.776498366314
2023-11-13,37064.13,37417.99,36333.0,36462.93,32798.18252,-0.0162205345167955,0.0151474190428509,963722.0,418873.0,106.92014619,389037995.7448952,19541418.03225147,1.751221714879
2023-11-14,36462.93,36744.0,34800.0,35551.19,45503.68416,-0.0250045731377044,0.0188406501899968,957065.0,525384.0,101.92946784,443696223.8353265,19542280.53225089,1.705402061503
2023-11-15,35551.2,37980.0,35360.0,37858.2,53569.13385,0.0648926238474716,0.0308803816600555,961281.0,569166.0,136.59745993,475848126.79723346,19543205.53223946,1.810152914492
2023-11-16,37858.2,37929.54,35500.0,36163.51,47490.39566,-0.0447641462087472,0.0350657762592343,933700.0,628280.0,321.64013904,475848126.79723346,19544130.53223902,1.729237075753
2023-11-17,36163.51,36800.0,35861.1,36613.92,38283.61112,0.0124548197893399,0.0347621450292586,1014052.0,532945.0,242.06018465,482278507.3896148,19545068.03222224,1.747806543208
2023-11-18,36613.91,36845.49,36178.58,36568.1,17102.24186,-0.0012514366120863,0.0347457555407147,860889.0,629610.0,316.01896346,479063314.77848727,19545999.28222189,1.74769689693
2023-11-19,36568.11,37500.0,36384.02,37359.86,21246.34648,0.0216516581391978,0.0358444493630505,962703.0,712264.0,201.48893355,546582308.683555,19547061.7822161,1.78814575059
2023-11-20,37359.85,37750.0,36677.0,37448.78,36022.70291,0.0023800945720888,0.0349752067899411,1064908.0,630519.0,177.65265045,533721547.49879223,19548099.28221029,1.789732455017
2023-11-21,37448.79,37649.44,35735.0,35741.65,47646.54804,-0.0455857306967009,0.0385366273755254,1007505.0,530112.0,169.72756871,488708887.9819962,19549049.28218361,1.717720966087
2023-11-22,35741.65,37861.1,35632.01,37408.34,45051.30697,0.0466315908750714,0.0338557236135218,979014.0,536770.0,155.51005219,456556985.02008927,19549936.78218325,1.780655097435
2023-11-23,37408.35,37653.44,36870.0,37294.28,23827.92882,-0.0030490526978742,0.0280928300591423,970303.0,586979.0,219.47823037,472632934.1861059,19550855.53217752,1.775570834214
2023-11-24,37294.27,38414.0,37251.51,37713.57,44680.80646,0.0112427428549364,0.0280410946566225,1136807.0,624489.0,96.61399822,540151928.0911736,19551905.5321772,1.793664605571
2023-11-25,37713.57,37888.0,37591.1,37780.67,11396.14464,0.0017792004310384,0.0279594331288571,1032695.0,612626.0,92.38812809,511704247.86252016,19552899.28217154,1.796938311512
2023-11-26,37780.67,37814.63,37150.0,37447.43,21264.53723,-0.008820383545342,0.0273004732990891,983533.0,578192.0,81.77206996,493217212.10255015,19553811.7821613,1.781247130023
2023-11-27,37447.42,37569.23,36707.0,37242.7,30001.07376,-0.0054671308551749,0.0273787872191683,981736.0,478456.0,90.38276952,439166011.3759895,19554624.28215563,1.768699884325
2023-11-28,37242.7,38377.0,36868.41,37818.87,37544.46667,0.0154706828452289,0.0190758949041295,996007.0,447781.0,78.15706408,496595410.0196941,19555543.03215545,1.795694998493
2023-11-29,37818.88,38450.0,37570.0,37854.64,32994.19107,0.0009458241348827,0.0088115891011468,915309.0,358838.0,62.07806416,459435208.60806966,19556393.03214977,1.794443185541
2023-11-30,37854.65,38145.85,37500.0,37723.96,24740.29147,-0.0034521527611939,0.0088492544868663,958958.0,410936.0,72.87849716,452678812.77378166,19557230.53214963,1.787790724759
2023-12-01,37723.97,38999.0,37615.86,38682.52,43415.66324,0.0254098456259628,0.0123361983780166,1131524.0,497410.0,97.47076381,570915812.8429431,19558286.78214399,1.831958430263
2023-12-02,38682.51,39717.14,38641.61,39450.35,26696.92161,0.0198495341048101,0.0136853736761885,860355.0,435763.0,64.72208528,429031407.8953413,19559080.53214366,1.866562636124
2023-12-03,39450.35,40250.0,39274.86,39972.26,26710.65335,0.0132295404223283,0.0120741047986527,919493.0,707186.0,141.18916976,557403011.4451509,19560111.7821325,1.88957149278
2023-12-04,39972.26,42420.0,39972.26,41991.1,79272.33059,0.0505060259289815,0.0177615237138,1034656.0,567712.0,152.28627261,523621012.8152785,19561080.53213206,1.974157660867
2023-12-05,41991.1,44488.0,41414.0,44073.32,67490.74644,0.0495871744250566,0.0214370903718922,867570.0,513549.0,245.80515529,466191609.30696577,19561943.03212622,2.070210110876
2023-12-06,44073.82,44297.21,43335.28,43762.69,51431.10492,-0.0070480281494563,0.0229252949458159,867353.0,469800.0,287.43139808,459435208.60806966,19562793.03212585,2.049004981703
2023-12-07,43762.69,44047.33,42821.1,43273.14,47103.26845,-0.0111864695703121,0.0244449079529235,898183.0,368965.0,170.65886039,388493008.5665728,19563511.78212008,2.024192806038
2023-12-08,43273.15,44700.0,43081.1,44170.99,42900.37556,0.0207484365590293,0.0243378092224195,924415.0,411806.0,153.42173224,456057010.69092566,19564355.53211968,2.063554127808
2023-12-09,44171.0,44358.02,43584.51,43713.6,24925.97008,-0.0103549863835969,0.0267949574964105,927620.0,593873.0,142.28948258,530377413.5141746,19565336.78211944,2.040603828859
2023-12-10,43713.59,44049.0,43563.0,43789.51,18956.61758,0.0017365305076681,0.0272742718414156,848613.0,528723.0,109.97741548,469156589.98176646,19566211.7821184,2.039126541822
2023-12-11,43789.5,43804.5,40222.0,41253.4,76663.89804,-0.0579159255264559,0.0329113281162802,1010741.0,528218.0,137.42811792,528635574.13248897,19567199.2821182,1.920421604102
2023-12-12,41253.41,42104.12,40680.0,41492.39,42722.69773,0.005793219467971,0.0245595273735097,886419.0,547067.0,115.80405292,481794448.28640914,19568099.28211442,1.928403638971
2023-12-13,41492.38,43475.2,40555.0,42869.03,45865.99773,0.033178132182793,0.0291781570663862,742559.0,586126.0,200.38256859,498523421.1145884,19569030.53211368,1.994507456072
2023-12-14,42869.03,43420.0,41400.0,43022.26,42047.05709,0.003574375254117,0.0289845346030729,711343.0,569840.0,340.65399192,488486038.3812697,19569943.03211355,1.997076014934
2023-12-15,43022.26,43080.81,41666.0,41940.3,33421.7932,-0.0251488415531866,0.028574925786473,860116.0,632050.0,414.19566536,545364546.9606683,19570961.78211341,1.945584187067
2023-12-16,41940.29,42724.43,41605.0,42278.03,24118.85747,0.0080526367241053,0.0290597131736998,724669.0,636141.0,568.94621841,508560808.6658516,19571911.78211322,1.954587603816
2023-12-17,42278.02,42424.07,41252.0,41374.65,27722.11452,-0.021367599199868,0.0295557373369263,703993.0,621213.0,543.33939018,501869218.570991,19572849.28211309,1.918432937883
2023-12-18,41374.64,42757.81,40542.93,42657.8,46734.0925,0.0310129511669585,0.0226820876626991,928612.0,641771.0,402.22664701,562093524.6067921,19573899.28211291,1.970997560336
2023-12-19,42657.8,43497.0,41811.1,42275.99,40927.86444,-0.0089505319074121,0.0232744365328043,817240.0,662370.0,425.85765116,542018754.3222103,19574911.78205268,1.952266717846
2023-12-20,42275.99,44283.0,42206.0,43668.93,48710.2947,0.0329487257424367,0.023224817324056,787679.0,580281.0,428.44189548,485140240.9248672,19575818.03205239,2.010355157868
2023-12-21,43668.92,44242.35,43286.72,43861.8,34624.29384,0.0044166413053858,0.0232312283224855,815395.0,589222.0,405.86906216,488486038.3812697,19576730.53205018,2.02055347695
2023-12-22,43861.79,44398.26,43412.54,43969.04,32783.19638,0.002444952099549,0.0197382904276743,1012121.0,623750.0,317.05181008,562093524.6067921,19577780.53204999,2.024349186253
2023-12-23,43969.04,43988.68,43291.1,43702.16,16557.1293,-0.0060697254249807,0.0203184414938339,893092.0,609387.0,202.72232586,561495983.9886068,19578780.53204988,2.012046953684
2023-12-24,43702.15,43946.0,42500.0,42991.5,25144.33496,-0.016261438793872,0.0192826859326526,880971.0,724746.0,177.61389683,612085087.5512701,19579849.28204977,1.978993772604
2023-12-25,42991.5,43802.32,42720.43,43576.13,27021.23992,0.0135987346335904,0.0163680119673022,702609.0,531891.0,169.29169371,497542850.09060687,19580718.03204967,2.002168071468
2023-12-26,43576.12,43592.68,41637.6,42508.93,41010.04282,-0.0244904721920005,0.0191088489838603,742922.0,556724.0,168.07237778,497542850.09060687,19581586.78204955,1.947666354666
2023-12-27,42508.93,43677.0,42098.69,43428.85,36191.21136,0.0216406293924593,0.016210092420077,776011.0,541778.0,274.99201232,461748397.6626492,19582393.03204946,1.98454282113
2023-12-28,43428.86,43787.57,42241.79,42563.76,35150.52485,-0.0199197077518745,0.017495038909312,848615.0,417387.0,228.60423565,433112840.8746837,19583149.28204935,1.948191066046
2023-12-29,42563.76,43111.0,41300.0,42066.95,42597.18912,-0.0116721361082762,0.0174214848125849,910761.0,579710.0,212.89731756,540496187.8497554,19584092.99589623,1.915289168243
2023-12-30,42066.94,42612.32,41520.3,42140.28,22906.57818,0.0017431736790995,0.017677204745088,787521.0,540497.0,262.89297872,519019516.3929808,19584999.24589619,1.923525954915
2023-12-31,42140.29,42899.0,41965.84,42283.58,23585.91603,0.0034005469351414,0.017153484266795,791644.0,724837.0,360.49941065,558393411.4865339,19585974.24589616,1.923147103068
2024-01-01,42283.58,44184.1,42180.77,44179.55,27174.29903,0.0448393915557765,0.0244669909143211,827239.0,655722.0,212.54134993,554813968.8209385,19586942.99589609,2.005011405976
2024-01-02,44179.55,45879.63,44148.34,44946.91,65146.40661,0.0173691221390892,0.0218232041877166,867688.0,364237.0,139.99686991,468907288.14824075,19587761.74589597,2.041843744783
2024-01-03,44946.91,45500.0,40750.0,42845.23,81194.55173,-0.046759165424275,0.0289511974936871,940343.0,502203.0,146.47629682,565552301.9721255,19588749.24589465,1.941607815328
